src,video_name,MOS,CI
Daydreamer_SDR_8s_3840x2160_8,Daydreamer_SDR_8s_3840x2160_8_200kbps_360p_15.0fps_h264.mp4,1.52,0.229686818
Daydreamer_SDR_8s_3840x2160_8,Daydreamer_SDR_8s_3840x2160_8_500kbps_360p_15.0fps_h264.mp4,1.88,0.284476242
Daydreamer_SDR_8s_3840x2160_8,Daydreamer_SDR_8s_3840x2160_8_500kbps_360p_24.0fps_h264.mp4,2.12,0.345458132
Daydreamer_SDR_8s_3840x2160_8,Daydreamer_SDR_8s_3840x2160_8_1000kbps_360p_24.0fps_h264.mp4,2.28,0.310310438
Daydreamer_SDR_8s_3840x2160_8,Daydreamer_SDR_8s_3840x2160_8_500kbps_480p_15.0fps_h264.mp4,1.8,0.277180765
Daydreamer_SDR_8s_3840x2160_8,Daydreamer_SDR_8s_3840x2160_8_1000kbps_480p_15.0fps_h264.mp4,2.4,0.357838829
Daydreamer_SDR_8s_3840x2160_8,Daydreamer_SDR_8s_3840x2160_8_1000kbps_480p_24.0fps_h264.mp4,2.4,0.253030262
Daydreamer_SDR_8s_3840x2160_8,Daydreamer_SDR_8s_3840x2160_8_2000kbps_480p_24.0fps_h264.mp4,3,0.33947572
Daydreamer_SDR_8s_3840x2160_8,Daydreamer_SDR_8s_3840x2160_8_1000kbps_720p_24.0fps_h264.mp4,2.48,0.322452299
Daydreamer_SDR_8s_3840x2160_8,Daydreamer_SDR_8s_3840x2160_8_2000kbps_720p_24.0fps_h264.mp4,2.92,0.390683969
Daydreamer_SDR_8s_3840x2160_8,Daydreamer_SDR_8s_3840x2160_8_2000kbps_720p_30.0fps_h264.mp4,2.92,0.297673731
Daydreamer_SDR_8s_3840x2160_8,Daydreamer_SDR_8s_3840x2160_8_4000kbps_720p_30.0fps_h264.mp4,3.64,0.317651253
Daydreamer_SDR_8s_3840x2160_8,Daydreamer_SDR_8s_3840x2160_8_2000kbps_1080p_24.0fps_h264.mp4,2.84,0.352066856
Daydreamer_SDR_8s_3840x2160_8,Daydreamer_SDR_8s_3840x2160_8_4000kbps_1080p_24.0fps_h264.mp4,3.08,0.356404599
Daydreamer_SDR_8s_3840x2160_8,Daydreamer_SDR_8s_3840x2160_8_4000kbps_1080p_30.0fps_h264.mp4,3.2,0.43826127
Daydreamer_SDR_8s_3840x2160_8,Daydreamer_SDR_8s_3840x2160_8_6000kbps_1080p_30.0fps_h264.mp4,3.6,0.357838829
Daydreamer_SDR_8s_3840x2160_8,Daydreamer_SDR_8s_3840x2160_8_4000kbps_1440p_30.0fps_h264.mp4,3.24,0.344716008
Daydreamer_SDR_8s_3840x2160_8,Daydreamer_SDR_8s_3840x2160_8_6000kbps_1440p_30.0fps_h264.mp4,3.56,0.321657101
Daydreamer_SDR_8s_3840x2160_8,Daydreamer_SDR_8s_3840x2160_8_6000kbps_1440p_60.0fps_h264.mp4,3.44,0.409252495
Daydreamer_SDR_8s_3840x2160_8,Daydreamer_SDR_8s_3840x2160_8_8000kbps_1440p_60.0fps_h264.mp4,3.56,0.409252495
Daydreamer_SDR_8s_3840x2160_8,Daydreamer_SDR_8s_3840x2160_8_6000kbps_2160p_30.0fps_h264.mp4,3.56,0.424608605
Daydreamer_SDR_8s_3840x2160_8,Daydreamer_SDR_8s_3840x2160_8_8000kbps_2160p_30.0fps_h264.mp4,3.52,0.409877786
Daydreamer_SDR_8s_3840x2160_8,Daydreamer_SDR_8s_3840x2160_8_8000kbps_2160p_60.0fps_h264.mp4,3.64,0.337204954
Daydreamer_SDR_8s_3840x2160_8,Daydreamer_SDR_8s_3840x2160_8_15000kbps_2160p_60.0fps_h264.mp4,4.16,0.369805265
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s,fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_200kbps_360p_15.0fps_h264.mp4,1.08,0.108537891
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s,fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_500kbps_360p_15.0fps_h264.mp4,1.48,0.256048623
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s,fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_500kbps_360p_24.0fps_h264.mp4,1.36,0.249975459
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s,fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_1000kbps_360p_24.0fps_h264.mp4,1.84,0.292466208
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s,fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_500kbps_480p_15.0fps_h264.mp4,1.6,0.277180765
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s,fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_1000kbps_480p_15.0fps_h264.mp4,1.8,0.33947572
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s,fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_1000kbps_480p_24.0fps_h264.mp4,1.92,0.275326692
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s,fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_2000kbps_480p_24.0fps_h264.mp4,2.48,0.27993885
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s,fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_1000kbps_720p_24.0fps_h264.mp4,2,0.320060778
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s,fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_2000kbps_720p_24.0fps_h264.mp4,2.56,0.301095381
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s,fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_2000kbps_720p_30.0fps_h264.mp4,2.76,0.305318523
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s,fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_4000kbps_720p_30.0fps_h264.mp4,3.48,0.359979459
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s,fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_2000kbps_1080p_24.0fps_h264.mp4,2.64,0.337204954
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s,fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_4000kbps_1080p_24.0fps_h264.mp4,3.24,0.305318523
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s,fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_4000kbps_1080p_30.0fps_h264.mp4,3.72,0.349145089
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s,fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_6000kbps_1080p_30.0fps_h264.mp4,3.92,0.337963571
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s,fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_4000kbps_1440p_30.0fps_h264.mp4,3.72,0.400395906
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s,fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_6000kbps_1440p_30.0fps_h264.mp4,4,0.277180765
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s,fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_6000kbps_1440p_60.0fps_h264.mp4,4.24,0.305318523
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s,fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_8000kbps_1440p_60.0fps_h264.mp4,4.2,0.33947572
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s,fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_6000kbps_2160p_30.0fps_h264.mp4,3.88,0.306156162
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s,fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_8000kbps_2160p_30.0fps_h264.mp4,4.16,0.313594238
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s,fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_8000kbps_2160p_60.0fps_h264.mp4,4.32,0.370497137
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s,fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_15000kbps_2160p_60.0fps_h264.mp4,4.72,0.212304302
Giftmord-SDR_8s_11_3840x2160,Giftmord-SDR_8s_11_3840x2160_200kbps_360p_15.0fps_h264.mp4,1.48,0.256048623
Giftmord-SDR_8s_11_3840x2160,Giftmord-SDR_8s_11_3840x2160_500kbps_360p_15.0fps_h264.mp4,1.72,0.240578427
Giftmord-SDR_8s_11_3840x2160,Giftmord-SDR_8s_11_3840x2160_500kbps_360p_24.0fps_h264.mp4,2.12,0.261001666
Giftmord-SDR_8s_11_3840x2160,Giftmord-SDR_8s_11_3840x2160_1000kbps_360p_24.0fps_h264.mp4,2.52,0.27993885
Giftmord-SDR_8s_11_3840x2160,Giftmord-SDR_8s_11_3840x2160_500kbps_480p_15.0fps_h264.mp4,1.92,0.297673731
Giftmord-SDR_8s_11_3840x2160,Giftmord-SDR_8s_11_3840x2160_1000kbps_480p_15.0fps_h264.mp4,2.08,0.318456454
Giftmord-SDR_8s_11_3840x2160,Giftmord-SDR_8s_11_3840x2160_1000kbps_480p_24.0fps_h264.mp4,2.64,0.296812155
Giftmord-SDR_8s_11_3840x2160,Giftmord-SDR_8s_11_3840x2160_2000kbps_480p_24.0fps_h264.mp4,3.16,0.333385975
Giftmord-SDR_8s_11_3840x2160,Giftmord-SDR_8s_11_3840x2160_1000kbps_720p_24.0fps_h264.mp4,2.72,0.240578427
Giftmord-SDR_8s_11_3840x2160,Giftmord-SDR_8s_11_3840x2160_2000kbps_720p_24.0fps_h264.mp4,3.2,0.37530453
Giftmord-SDR_8s_11_3840x2160,Giftmord-SDR_8s_11_3840x2160_2000kbps_720p_30.0fps_h264.mp4,3.24,0.260018606
Giftmord-SDR_8s_11_3840x2160,Giftmord-SDR_8s_11_3840x2160_4000kbps_720p_30.0fps_h264.mp4,3.68,0.314409829
Giftmord-SDR_8s_11_3840x2160,Giftmord-SDR_8s_11_3840x2160_2000kbps_1080p_24.0fps_h264.mp4,2.88,0.326399231
Giftmord-SDR_8s_11_3840x2160,Giftmord-SDR_8s_11_3840x2160_4000kbps_1080p_24.0fps_h264.mp4,3.24,0.344716008
Giftmord-SDR_8s_11_3840x2160,Giftmord-SDR_8s_11_3840x2160_4000kbps_1080p_30.0fps_h264.mp4,3.72,0.288942391
Giftmord-SDR_8s_11_3840x2160,Giftmord-SDR_8s_11_3840x2160_6000kbps_1080p_30.0fps_h264.mp4,3.72,0.288942391
Giftmord-SDR_8s_11_3840x2160,Giftmord-SDR_8s_11_3840x2160_4000kbps_1440p_30.0fps_h264.mp4,3.56,0.376666801
Giftmord-SDR_8s_11_3840x2160,Giftmord-SDR_8s_11_3840x2160_6000kbps_1440p_30.0fps_h264.mp4,3.88,0.284476242
Giftmord-SDR_8s_11_3840x2160,Giftmord-SDR_8s_11_3840x2160_6000kbps_1440p_60.0fps_h264.mp4,3.92,0.318456454
Giftmord-SDR_8s_11_3840x2160,Giftmord-SDR_8s_11_3840x2160_8000kbps_1440p_60.0fps_h264.mp4,4.2,0.277180765
Giftmord-SDR_8s_11_3840x2160,Giftmord-SDR_8s_11_3840x2160_6000kbps_2160p_30.0fps_h264.mp4,3.8,0.277180765
Giftmord-SDR_8s_11_3840x2160,Giftmord-SDR_8s_11_3840x2160_8000kbps_2160p_30.0fps_h264.mp4,3.96,0.32952274
Giftmord-SDR_8s_11_3840x2160,Giftmord-SDR_8s_11_3840x2160_8000kbps_2160p_60.0fps_h264.mp4,4.12,0.284476242
Giftmord-SDR_8s_11_3840x2160,Giftmord-SDR_8s_11_3840x2160_15000kbps_2160p_60.0fps_h264.mp4,4.44,0.279022518
Sparks_cut_13,Sparks_cut_13_200kbps_360p_15.0fps_h264.mp4,1.32,0.218252353
Sparks_cut_13,Sparks_cut_13_500kbps_360p_15.0fps_h264.mp4,1.8,0.277180765
Sparks_cut_13,Sparks_cut_13_500kbps_360p_24.0fps_h264.mp4,1.68,0.218252353
Sparks_cut_13,Sparks_cut_13_1000kbps_360p_24.0fps_h264.mp4,2.28,0.288942391
Sparks_cut_13,Sparks_cut_13_500kbps_480p_15.0fps_h264.mp4,1.84,0.217075781
Sparks_cut_13,Sparks_cut_13_1000kbps_480p_15.0fps_h264.mp4,2.24,0.234104277
Sparks_cut_13,Sparks_cut_13_1000kbps_480p_24.0fps_h264.mp4,2.52,0.256048623
Sparks_cut_13,Sparks_cut_13_2000kbps_480p_24.0fps_h264.mp4,2.68,0.314409829
Sparks_cut_13,Sparks_cut_13_1000kbps_720p_24.0fps_h264.mp4,2.64,0.274394958
Sparks_cut_13,Sparks_cut_13_2000kbps_720p_24.0fps_h264.mp4,2.92,0.356404599
Sparks_cut_13,Sparks_cut_13_2000kbps_720p_30.0fps_h264.mp4,3.04,0.239511555
Sparks_cut_13,Sparks_cut_13_4000kbps_720p_30.0fps_h264.mp4,3.8,0.277180765
Sparks_cut_13,Sparks_cut_13_2000kbps_1080p_24.0fps_h264.mp4,3.32,0.314409829
Sparks_cut_13,Sparks_cut_13_4000kbps_1080p_24.0fps_h264.mp4,3.6,0.299389444
Sparks_cut_13,Sparks_cut_13_4000kbps_1080p_30.0fps_h264.mp4,3.88,0.306156162
Sparks_cut_13,Sparks_cut_13_6000kbps_1080p_30.0fps_h264.mp4,4.16,0.292466208
Sparks_cut_13,Sparks_cut_13_4000kbps_1440p_30.0fps_h264.mp4,4,0.277180765
Sparks_cut_13,Sparks_cut_13_6000kbps_1440p_30.0fps_h264.mp4,4.04,0.239511555
Sparks_cut_13,Sparks_cut_13_6000kbps_1440p_59.94fps_h264.mp4,4.24,0.283574572
Sparks_cut_13,Sparks_cut_13_8000kbps_1440p_59.94fps_h264.mp4,4.4,0.253030262
Sparks_cut_13,Sparks_cut_13_6000kbps_2160p_30.0fps_h264.mp4,3.88,0.326399231
Sparks_cut_13,Sparks_cut_13_8000kbps_2160p_30.0fps_h264.mp4,4.2,0.277180765
Sparks_cut_13,Sparks_cut_13_8000kbps_2160p_59.94fps_h264.mp4,4.36,0.22289654
Sparks_cut_13,Sparks_cut_13_15000kbps_2160p_59.94fps_h264.mp4,4.44,0.279022518
Sparks_cut_15,Sparks_cut_15_200kbps_360p_15.0fps_h264.mp4,1.04,0.078398559
Sparks_cut_15,Sparks_cut_15_500kbps_360p_15.0fps_h264.mp4,1.48,0.229686818
Sparks_cut_15,Sparks_cut_15_500kbps_360p_24.0fps_h264.mp4,1.44,0.228569114
Sparks_cut_15,Sparks_cut_15_1000kbps_360p_24.0fps_h264.mp4,1.92,0.297673731
Sparks_cut_15,Sparks_cut_15_500kbps_480p_15.0fps_h264.mp4,1.4,0.226317147
Sparks_cut_15,Sparks_cut_15_1000kbps_480p_15.0fps_h264.mp4,2.08,0.297673731
Sparks_cut_15,Sparks_cut_15_1000kbps_480p_24.0fps_h264.mp4,2.12,0.306156162
Sparks_cut_15,Sparks_cut_15_2000kbps_480p_24.0fps_h264.mp4,2.6,0.277180765
Sparks_cut_15,Sparks_cut_15_1000kbps_720p_24.0fps_h264.mp4,1.72,0.26586245
Sparks_cut_15,Sparks_cut_15_2000kbps_720p_24.0fps_h264.mp4,2.64,0.337204954
Sparks_cut_15,Sparks_cut_15_2000kbps_720p_30.0fps_h264.mp4,2.64,0.317651253
Sparks_cut_15,Sparks_cut_15_4000kbps_720p_30.0fps_h264.mp4,3.32,0.293340549
Sparks_cut_15,Sparks_cut_15_2000kbps_1080p_24.0fps_h264.mp4,2.68,0.352793517
Sparks_cut_15,Sparks_cut_15_4000kbps_1080p_24.0fps_h264.mp4,3.12,0.363519165
Sparks_cut_15,Sparks_cut_15_4000kbps_1080p_30.0fps_h264.mp4,3.32,0.314409829
Sparks_cut_15,Sparks_cut_15_6000kbps_1080p_30.0fps_h264.mp4,3.76,0.362813987
Sparks_cut_15,Sparks_cut_15_4000kbps_1440p_30.0fps_h264.mp4,3.08,0.297673731
Sparks_cut_15,Sparks_cut_15_6000kbps_1440p_30.0fps_h264.mp4,3.68,0.293340549
Sparks_cut_15,Sparks_cut_15_6000kbps_1440p_59.94fps_h264.mp4,3.16,0.369805265
Sparks_cut_15,Sparks_cut_15_8000kbps_1440p_59.94fps_h264.mp4,3.36,0.274394958
Sparks_cut_15,Sparks_cut_15_6000kbps_2160p_30.0fps_h264.mp4,3.4,0.357838829
Sparks_cut_15,Sparks_cut_15_8000kbps_2160p_30.0fps_h264.mp4,3.76,0.362813987
Sparks_cut_15,Sparks_cut_15_8000kbps_2160p_59.94fps_h264.mp4,3.36,0.317651253
Sparks_cut_15,Sparks_cut_15_15000kbps_2160p_59.94fps_h264.mp4,4.04,0.239511555
