ref_video_name,dis_videoName,MOS,std,width,processedSpatialResolution,processedFrameRateRatio,content_idx
BigBuckBunny_25fps,BigBuckBunny_H264_4 ,6.6724,0.1835,1920,1080,25,1
BigBuckBunny_25fps,BigBuckBunny_SDH264HD_4 ,5.8966,0.61392,1280,720,25,1
BigBuckBunny_25fps,BigBuckBunny_H264_3 ,4.931,0.40579,1920,1080,25,1
BigBuckBunny_25fps,BigBuckBunny_SDH264HD_3 ,4.4138,0.25123,1280,720,25,1
BigBuckBunny_25fps,BigBuckBunny_H264_2 ,2.6034,0.14963,1920,1080,25,1
BigBuckBunny_25fps,BigBuckBunny_SDH264HD_2 ,2.2931,0.24138,1280,720,25,1
BigBuckBunny_25fps,BigBuckBunny_H264_1 ,0.75862,0.22537,1920,1080,25,1
BigBuckBunny_25fps,BigBuckBunny_SDH264HD_1 ,0.34483,0.16256,1280,720,25,1
BirdsInCage_30fps,BirdsInCage_H264_4 ,7.069,0.28079,1920,1080,30,2
BirdsInCage_30fps,BirdsInCage_SDH264HD_4 ,5.7069,0.27709,1280,720,30,2
BirdsInCage_30fps,BirdsInCage_H264_3 ,5.3448,0.21613,1920,1080,30,2
BirdsInCage_30fps,BirdsInCage_SDH264HD_3 ,3.6724,0.23707,1280,720,30,2
BirdsInCage_30fps,BirdsInCage_H264_2 ,3.431,0.26293,1920,1080,30,2
BirdsInCage_30fps,BirdsInCage_SDH264HD_2 ,1.2931,0.52709,1280,720,30,2
BirdsInCage_30fps,BirdsInCage_H264_1 ,1.1034,0.56034,1920,1080,30,2
BirdsInCage_30fps,BirdsInCage_SDH264HD_1 ,0.63793,0.3553,1280,720,30,2
BQTerrace_30fps,BQTerrace_H264_4 ,6.9655,0.24877,1920,1080,30,3
BQTerrace_30fps,BQTerrace_SDH264HD_4 ,5.6552,0.35899,1280,720,30,3
BQTerrace_30fps,BQTerrace_H264_3 ,5.3621,0.49815,1920,1080,30,3
BQTerrace_30fps,BQTerrace_SDH264HD_3 ,3.8793,0.36884,1280,720,30,3
BQTerrace_30fps,BQTerrace_H264_2 ,3.1552,0.23399,1920,1080,30,3
BQTerrace_30fps,BQTerrace_SDH264HD_2 ,1.8793,0.2617,1280,720,30,3
BQTerrace_30fps,BQTerrace_H264_1 ,0.89655,0.43534,1920,1080,30,3
BQTerrace_30fps,BQTerrace_SDH264HD_1 ,0.34483,0.1447,1280,720,30,3
CrowdRun_25fps,CrowdRun_H264_4 ,6.9138,0.25123,1920,1080,25,4
CrowdRun_25fps,CrowdRun_SDH264HD_4 ,5.6379,0.31958,1280,720,25,4
CrowdRun_25fps,CrowdRun_H264_3 ,5.3793,0.5117,1920,1080,25,4
CrowdRun_25fps,CrowdRun_SDH264HD_3 ,3.8621,0.46244,1280,720,25,4
CrowdRun_25fps,CrowdRun_H264_2 ,3.1552,0.41256,1920,1080,25,4
CrowdRun_25fps,CrowdRun_SDH264HD_2 ,1.9828,0.31219,1280,720,25,4
CrowdRun_25fps,CrowdRun_H264_1 ,1.0517,0.39901,1920,1080,25,4
CrowdRun_25fps,CrowdRun_SDH264HD_1 ,0.2931,0.13424,1280,720,25,4
DanceKiss_25fps,DanceKiss_H264_4 ,6.6296,0.53063,1920,1080,25,5
DanceKiss_25fps,DanceKiss_SDH264HD_4 ,6.2037,0.37037,1280,720,25,5
DanceKiss_25fps,DanceKiss_H264_3 ,4.6111,0.50641,1920,1080,25,5
DanceKiss_25fps,DanceKiss_SDH264HD_3 ,4.6296,0.37678,1280,720,25,5
DanceKiss_25fps,DanceKiss_H264_2 ,2.5926,0.25071,1920,1080,25,5
DanceKiss_25fps,DanceKiss_SDH264HD_2 ,2.3519,0.26567,1280,720,25,5
DanceKiss_25fps,DanceKiss_H264_1 ,0.35185,0.15028,1920,1080,25,5
DanceKiss_25fps,DanceKiss_SDH264HD_1 ,0.7963,0.29345,1280,720,25,5
ElFuente1_30fps,ElFuente1_H264_4 ,6.8148,0.17593,1920,1080,30,6
ElFuente1_30fps,ElFuente1_SDH264HD_4 ,6.037,0.38319,1280,720,30,6
ElFuente1_30fps,ElFuente1_H264_3 ,4.6667,0.38462,1920,1080,30,6
ElFuente1_30fps,ElFuente1_SDH264HD_3 ,4.4259,0.20584,1280,720,30,6
ElFuente1_30fps,ElFuente1_H264_2 ,2.8704,0.31909,1920,1080,30,6
ElFuente1_30fps,ElFuente1_SDH264HD_2 ,2.2407,0.16097,1280,720,30,6
ElFuente1_30fps,ElFuente1_H264_1 ,0.2963,0.12037,1920,1080,30,6
ElFuente1_30fps,ElFuente1_SDH264HD_1 ,0.74074,0.12251,1280,720,30,6
ElFuente2_30fps,ElFuente2_H264_4 ,6.4259,0.37892,1920,1080,30,7
ElFuente2_30fps,ElFuente2_SDH264HD_4 ,6.1111,0.62179,1280,720,30,7
ElFuente2_30fps,ElFuente2_H264_3 ,4.5,1.1538,1920,1080,30,7
ElFuente2_30fps,ElFuente2_SDH264HD_3 ,4.4259,0.70584,1280,720,30,7
ElFuente2_30fps,ElFuente2_H264_2 ,2.8519,0.47721,1920,1080,30,7
ElFuente2_30fps,ElFuente2_SDH264HD_2 ,2.463,0.44088,1280,720,30,7
ElFuente2_30fps,ElFuente2_H264_1 ,0.7037,0.31268,1920,1080,30,7
ElFuente2_30fps,ElFuente2_SDH264HD_1 ,0.44444,0.17949,1280,720,30,7
Kimono1_24fps,Kimono1_H264_4 ,6.9259,0.22507,1920,1080,24,8
Kimono1_24fps,Kimono1_SDH264HD_4 ,6.1481,0.34259,1280,720,24,8
Kimono1_24fps,Kimono1_H264_3 ,4.8519,0.38105,1920,1080,24,8
Kimono1_24fps,Kimono1_SDH264HD_3 ,4.2963,0.17806,1280,720,24,8
Kimono1_24fps,Kimono1_H264_2 ,2.6111,0.16026,1920,1080,24,8
Kimono1_24fps,Kimono1_SDH264HD_2 ,2.3148,0.29131,1280,720,24,8
Kimono1_24fps,Kimono1_H264_1 ,0.7963,0.35114,1920,1080,24,8
Kimono1_24fps,Kimono1_SDH264HD_1 ,0.33333,0.17308,1280,720,24,8
FoxBird_25fps,FoxBird_H264_4 ,6.5769,0.15385,1920,1080,25,9
FoxBird_25fps,FoxBird_SDH264HD_4 ,6.3846,0.14615,1280,720,25,9
FoxBird_25fps,FoxBird_H264_3 ,4.3462,0.17538,1920,1080,25,9
FoxBird_25fps,FoxBird_SDH264HD_3 ,4.5962,0.16038,1280,720,25,9
FoxBird_25fps,FoxBird_H264_2 ,2.8846,0.22615,1920,1080,25,9
FoxBird_25fps,FoxBird_SDH264HD_2 ,1.5,0.34,1280,720,25,9
FoxBird_25fps,FoxBird_H264_1 ,1.6154,0.30615,1920,1080,25,9
FoxBird_25fps,FoxBird_SDH264HD_1 ,0.07692,0.03384,1280,720,25,9
OldTownCross_25fps,OldTownCross_H264_4 ,7.0769,0.41385,1920,1080,25,10
OldTownCross_25fps,OldTownCross_SDH264HD_4 ,5.7115,0.44346,1280,720,25,10
OldTownCross_25fps,OldTownCross_H264_3 ,5.5769,0.43385,1920,1080,25,10
OldTownCross_25fps,OldTownCross_SDH264HD_3 ,4,0.12,1280,720,25,10
OldTownCross_25fps,OldTownCross_H264_2 ,3.2308,0.42462,1920,1080,25,10
OldTownCross_25fps,OldTownCross_SDH264HD_2 ,1.9038,0.22038,1280,720,25,10
OldTownCross_25fps,OldTownCross_H264_1 ,0.92308,0.33385,1920,1080,25,10
OldTownCross_25fps,OldTownCross_SDH264HD_1 ,0.25,0.125,1280,720,25,10
Seeking_25fps,Seeking_H264_4 ,6.8077,0.26154,1920,1080,25,11
Seeking_25fps,Seeking_SDH264HD_4 ,6.1731,0.25885,1280,720,25,11
Seeking_25fps,Seeking_H264_3 ,4.9038,0.32038,1920,1080,25,11
Seeking_25fps,Seeking_SDH264HD_3 ,4.0385,0.25846,1280,720,25,11
Seeking_25fps,Seeking_H264_2 ,3,0.3,1920,1080,25,11
Seeking_25fps,Seeking_SDH264HD_2 ,2.1346,0.17115,1280,720,25,11
Seeking_25fps,Seeking_H264_1 ,0.86538,0.27115,1920,1080,25,11
Seeking_25fps,Seeking_SDH264HD_1 ,0.30769,0.14154,1280,720,25,11
Tennis_24fps,Tennis_H264_4 ,6.9231,0.41385,1920,1080,24,12
Tennis_24fps,Tennis_SDH264HD_4 ,6.1923,0.26154,1280,720,24,12
Tennis_24fps,Tennis_H264_3 ,4.5192,0.40962,1920,1080,24,12
Tennis_24fps,Tennis_SDH264HD_3 ,4.3269,0.51885,1280,720,24,12
Tennis_24fps,Tennis_H264_2 ,2.6538,0.37538,1920,1080,24,12
Tennis_24fps,Tennis_SDH264HD_2 ,2.5769,0.55385,1280,720,24,12
Tennis_24fps,Tennis_H264_1 ,0.34615,0.17538,1920,1080,24,12
Tennis_24fps,Tennis_SDH264HD_1 ,0.69231,0.16154,1280,720,24,12
